G,I,GI,II
89.7196,26.2674,0.0000,0.0000
89.7196,26.2674,0.0000,0.0000
89.7196,26.2673,0.0000,0.0000
89.7196,26.2673,0.0000,0.0000
89.7196,26.2673,0.0000,0.0000
89.7196,26.2673,0.0000,0.0000
89.7195,26.2673,0.0000,0.0000
89.7195,26.2672,0.0000,0.0000
89.7195,26.2672,0.0000,0.0000
89.7195,26.2672,0.0000,0.0000
89.7195,26.2672,0.0000,0.0000
89.7195,26.2671,0.0000,0.0000
89.7195,26.2671,0.0000,0.0000
89.7195,26.2671,0.0000,0.0000
89.7195,26.2671,0.0000,0.0000
89.7195,26.2671,0.0000,0.0000
89.7194,26.2670,0.0000,0.0000
89.7194,26.2670,0.0000,0.0000
89.7194,26.2670,0.0000,0.0000
89.7194,26.2670,0.0000,0.0000
89.7194,26.2670,0.0000,0.0000
89.7194,26.2669,0.0000,0.0000
89.7194,26.2669,0.0000,0.0000
89.7194,26.2669,0.0000,0.0000
89.7194,26.2669,0.0000,0.0000
89.7194,26.2669,0.0000,0.0000
89.7194,26.2668,0.0000,0.0000
89.7193,26.2668,0.0000,0.0000
89.7193,26.2668,0.0000,0.0000
89.7193,26.2668,0.0000,0.0000
89.7193,26.2668,0.0000,0.0000
89.7193,26.2667,0.0000,0.0000
89.7193,26.2667,0.0000,0.0000
89.7193,26.2667,0.0000,0.0000
89.7193,26.2667,0.0000,0.0000
89.7193,26.2667,0.0000,0.0000
89.7193,26.2666,0.0000,0.0000
89.7193,26.2666,0.0000,0.0000
89.7192,26.2666,0.0000,0.0000
89.7192,26.2666,0.0000,0.0000
89.7192,26.2666,0.0000,0.0000
89.7192,26.2665,0.0000,0.0000
89.7192,26.2665,0.0000,0.0000
89.7192,26.2665,0.0000,0.0000
89.7192,26.2665,0.0000,0.0000
89.7192,26.2665,0.0000,0.0000
89.7192,26.2664,0.0000,0.0000
89.7192,26.2664,0.0000,0.0000
89.7192,26.2664,0.0000,0.0000
89.7192,26.2664,0.0000,0.0000
89.7191,26.2664,0.0000,0.0000
89.7191,26.2663,0.0000,0.0000
89.7191,26.2663,0.0000,0.0000
89.7191,26.2663,0.0000,0.0000
89.7191,26.2663,0.0000,0.0000
89.7191,26.2663,0.0000,0.0000
89.7191,26.2662,0.0000,0.0000
89.7191,26.2662,0.0000,0.0000
89.7191,26.2662,0.0000,0.0000
