G,I,GI,II
130.2581,18.8223,0.0000,0.0000
130.2537,18.8159,0.0000,0.0000
130.2493,18.8096,0.0000,0.0000
130.2450,18.8034,0.0000,0.0000
130.2407,18.7972,0.0000,0.0000
130.2365,18.7911,0.0000,0.0000
130.2323,18.7850,0.0000,0.0000
130.2282,18.7790,0.0000,0.0000
130.2242,18.7731,0.0000,0.0000
130.2201,18.7672,0.0000,0.0000
130.2162,18.7614,0.0000,0.0000
130.2122,18.7556,0.0000,0.0000
130.2084,18.7499,0.0000,0.0000
130.2045,18.7442,0.0000,0.0000
130.2008,18.7386,0.0000,0.0000
130.1970,18.7330,0.0000,0.0000
130.1933,18.7275,0.0000,0.0000
130.1897,18.7221,0.0000,0.0000
130.1861,18.7167,0.0000,0.0000
130.1825,18.7114,0.0000,0.0000
130.1790,18.7061,0.0000,0.0000
130.1756,18.7009,0.0000,0.0000
130.1721,18.6957,0.0000,0.0000
130.1688,18.6906,0.0000,0.0000
130.1654,18.6856,0.0000,0.0000
130.1622,18.6806,0.0000,0.0000
130.1589,18.6756,0.0000,0.0000
130.1557,18.6707,0.0000,0.0000
130.1526,18.6659,0.0000,0.0000
130.1494,18.6611,0.0000,0.0000
130.1464,18.6563,0.0000,0.0000
130.1433,18.6516,0.0000,0.0000
130.1403,18.6470,0.0000,0.0000
130.1374,18.6424,0.0000,0.0000
130.1345,18.6379,0.0000,0.0000
130.1316,18.6334,0.0000,0.0000
130.1288,18.6289,0.0000,0.0000
130.1260,18.6245,0.0000,0.0000
130.1232,18.6202,0.0000,0.0000
130.1205,18.6159,0.0000,0.0000
130.1178,18.6117,0.0000,0.0000
130.1152,18.6075,0.0000,0.0000
130.1126,18.6033,0.0000,0.0000
130.1100,18.5992,0.0000,0.0000
130.1075,18.5952,0.0000,0.0000
130.1050,18.5912,0.0000,0.0000
130.1025,18.5872,0.0000,0.0000
130.1001,18.5833,0.0000,0.0000
130.0977,18.5794,0.0000,0.0000
130.0954,18.5756,0.0000,0.0000
130.0931,18.5718,0.0000,0.0000
130.0908,18.5681,0.0000,0.0000
130.0886,18.5644,0.0000,0.0000
130.0863,18.5607,0.0000,0.0000
130.0842,18.5571,0.0000,0.0000
130.0820,18.5536,0.0000,0.0000
130.0799,18.5501,0.0000,0.0000
130.0778,18.5466,0.0000,0.0000
130.0758,18.5432,0.0000,0.0000
130.0738,18.5398,0.0000,0.0000
130.0718,18.5364,0.0000,0.0000
130.0698,18.5331,0.0000,0.0000
130.0679,18.5299,0.0000,0.0000
130.0660,18.5266,0.0000,0.0000
130.0642,18.5235,0.0000,0.0000
130.0623,18.5203,0.0000,0.0000
130.0605,18.5172,0.0000,0.0000
130.0588,18.5142,0.0000,0.0000
130.0570,18.5111,0.0000,0.0000
130.0553,18.5081,0.0000,0.0000
130.0536,18.5052,0.0000,0.0000
130.0520,18.5023,0.0000,0.0000
130.0503,18.4994,0.0000,0.0000
130.0487,18.4966,0.0000,0.0000
130.0472,18.4938,0.0000,0.0000
130.0456,18.4910,0.0000,0.0000
130.0441,18.4883,0.0000,0.0000
130.0426,18.4856,0.0000,0.0000
130.0411,18.4830,0.0000,0.0000
130.0397,18.4803,0.0000,0.0000
130.0383,18.4777,0.0000,0.0000
